x,y,label
0,0,0
256,0,0
512,0,0
768,0,0
1024,0,0
1280,0,0
1536,0,0
1792,0,0
2048,0,0
2304,0,0
2560,0,0
2816,0,0
3072,0,0
3328,0,0
3584,0,0
3840,0,0
4096,0,0
4352,0,0
4608,0,0
4864,0,0
5120,0,0
5376,0,0
5632,0,0
5888,0,0
6144,0,0
6400,0,0
6656,0,0
6912,0,0
7168,0,0
7424,0,0
7680,0,0
7936,0,0
8192,0,0
8448,0,0
8704,0,0
8960,0,0
9216,0,0
9472,0,0
9728,0,0
9984,0,0
10240,0,0
10496,0,0
10752,0,0
11008,0,0
11264,0,0
11520,0,0
11776,0,0
12032,0,0
12288,0,0
12544,0,0
12800,0,0
13056,0,0
13312,0,0
13568,0,0
13824,0,0
14080,0,0
14336,0,0
14592,0,0
14848,0,0
15104,0,0
15360,0,0
15616,0,0
15872,0,0
16128,0,0
16384,0,0
16640,0,0
16896,0,0
17152,0,0
17408,0,0
17664,0,0
17920,0,0
18176,0,0
18432,0,0
18688,0,0
18944,0,0
19200,0,0
19456,0,0
19712,0,0
19968,0,0
20224,0,0
20480,0,0
20736,0,0
20992,0,0
21248,0,0
21504,0,0
21760,0,0
22016,0,0
22272,0,0
22528,0,0
22784,0,0
23040,0,0
23296,0,0
23552,0,0
23808,0,0
24064,0,0
24320,0,0
24576,0,0
24832,0,0
25088,0,0
25344,0,0
25600,0,0
25856,0,0
26112,0,0
26368,0,0
26624,0,0
26880,0,0
27136,0,0
27392,0,0
27648,0,0
27904,0,0
28160,0,0
28416,0,0
28672,0,0
28928,0,0
29184,0,0
29440,0,0
29696,0,0
29952,0,0
30208,0,0
30464,0,0
30720,0,0
30976,0,0
31232,0,0
31488,0,0
31744,0,0
32000,0,0
32256,0,0
32512,0,0
32768,0,0
33024,0,0
33280,0,0
33536,0,0
33792,0,0
34048,0,0
34304,0,0
34560,0,0
34816,0,0
35072,0,0
35328,0,0
35584,0,0
35840,0,0
36096,0,0
36352,0,0
36608,0,0
36864,0,0
37120,0,0
37376,0,0
37632,0,0
37888,0,0
38144,0,0
38400,0,0
38656,0,0
38912,0,0
39168,0,0
39424,0,0
39680,0,0
39936,0,0
40192,0,0
40448,0,0
40704,0,0
40960,0,0
41216,0,0
41472,0,0
41728,0,0
41984,0,0
42240,0,0
42496,0,0
42752,0,0
43008,0,0
43264,0,0
43520,0,0
43776,0,0
44032,0,0
44288,0,0
44544,0,0
